product_code,unit_of_order_code,product_name(do not edit),quantity_type(do not edit),product_tag,extra_product_details,tax_applicable(Yes or No),availability(available or limited or unavailable or hidden),cost,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,product_id(do not edit),quantity_type_id(do not edit)
'H0811','',Chillies - Birdseye Red (Mexican/Thai),Kg,'E4','','No','available',12.50,19.50,21.50,24.00,21.50,21.50,18.50,24.00,15.50,1d056d54-8623-47ec-adce-25ca3fd0440c,94ab9910-b3ea-495c-a740-198b0364a92f
'H0929','',Chillies - Bull Horn Green ,Box,'F1','','No','available',40.00,54.00,60.00,65.00,44.00,60.00,52.00,47.50,44.00,5c56d878-6997-4580-8cf7-3bea5f5bb4e8,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'H0928','',Chillies - Bull Horn Green ,Kg,'F1','','No','available',6.66,9.50,10.00,10.50,8.55,10.00,9.00,8.95,8.90,5c56d878-6997-4580-8cf7-3bea5f5bb4e8,94ab9910-b3ea-495c-a740-198b0364a92f
'H0931','',Chillies - Bull Horn Red,Box,'F1','','No','available',21.00,35.00,38.00,43.00,38.00,38.00,34.00,43.00,34.00,178f49cb-ce09-4b49-be51-2ff00bf4c41a,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'H0930','',Chillies - Bull Horn Red,Kg,'F1','','No','available',3.50,7.65,8.20,8.90,8.20,8.20,7.25,8.90,7.25,178f49cb-ce09-4b49-be51-2ff00bf4c41a,94ab9910-b3ea-495c-a740-198b0364a92f
'H0933','',Chillies - Bull Horn Yellow ,Box,'F1','','No','available',25.00,39.00,43.00,47.00,43.00,43.00,37.00,47.00,40.00,75dd520a-6d93-4262-b144-9180ce254090,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'H0932','',Chillies - Bull Horn Yellow ,Kg,'F1','','No','available',5.00,7.75,8.60,9.40,8.60,8.60,7.50,9.40,7.50,75dd520a-6d93-4262-b144-9180ce254090,94ab9910-b3ea-495c-a740-198b0364a92f
'H0816','',Chillies - Friggitello,Kg,'E4','','No','available',17.50,26.00,27.00,31.20,27.00,27.00,25.00,31.20,25.00,d4e31dba-6340-4531-80e3-bda5cc396d3c,94ab9910-b3ea-495c-a740-198b0364a92f
'H0817','',Chillies - Habanero,Kg,'E4','','No','available',55.00,67.00,69.00,80.40,69.00,69.00,65.00,80.40,65.00,6b5d2655-776c-4386-88da-f3476b07d178,94ab9910-b3ea-495c-a740-198b0364a92f
'H0819','',Chillies - Jalapeno,Kg,'E4','','No','available',9.00,13.75,14.60,15.75,14.60,14.60,13.50,15.75,13.50,5f333f32-729b-4902-8c64-ff2e61118a2e,94ab9910-b3ea-495c-a740-198b0364a92f
'H0821','',Chillies - Jalapeno Red,Kg,'E4','','No','unavailable',10.00,13.75,14.60,15.75,14.60,14.60,13.50,15.75,13.50,58b42ba4-58f2-4afe-949a-a5b9fa6529ec,94ab9910-b3ea-495c-a740-198b0364a92f
'H0822','',Chillies - Long Green,Box,'F1','','No','available',35.00,49.00,53.00,57.00,53.00,53.00,47.00,57.00,62.00,a788f441-f2b7-442c-8f51-aab998189f45,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'H0824','',Chillies - Long Green,Kg,'F1','','No','available',5.84,9.50,10.45,11.25,10.45,10.45,9.20,11.25,11.50,a788f441-f2b7-442c-8f51-aab998189f45,94ab9910-b3ea-495c-a740-198b0364a92f
'H0927','PUN',Chillies - Long Green 'Retail Pnt',Pn (150g),'N6','','No','available',2.00,3.50,3.85,4.20,3.85,3.85,3.50,4.20,3.50,4d498783-9463-4329-9578-9b73e305728a,78bff540-809f-4720-afb8-62df45cd4a9c
'H0825','',Chillies - Long Red,Box,'F1','','No','available',60.00,81.00,85.00,89.00,74.00,85.00,79.00,78.00,62.00,fb036ceb-214b-4cbd-8718-c72875013929,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'H0827','',Chillies - Long Red,Kg,'F1','','No','available',10.00,15.50,17.50,19.00,14.50,17.50,14.90,15.85,11.50,fb036ceb-214b-4cbd-8718-c72875013929,94ab9910-b3ea-495c-a740-198b0364a92f
'H0828','',Chillies - Long Red 'Retail Pnt',Pn (150g),'N6','','No','available',2.00,3.50,3.85,4.20,3.85,3.85,3.50,4.20,3.50,565ac569-f3dd-4aa3-a508-839c3b602fa8,78bff540-809f-4720-afb8-62df45cd4a9c
'H0829','',Chillies - Medley Mix,Kg,'E4','','No','available',17.50,22.00,23.00,26.40,23.00,23.00,21.50,26.40,21.50,1058e38f-7821-48e0-9939-f2192c23aa3e,94ab9910-b3ea-495c-a740-198b0364a92f
'H0830','',Chillies - Poblano,Kg,'E4','','No','available',10.00,14.50,15.50,16.50,15.50,15.50,14.50,16.50,15.50,6eff1e4b-b619-4861-a6e0-05f3f30512e6,94ab9910-b3ea-495c-a740-198b0364a92f
'H0815','',Chillies - Reaper,Kg,'E4','','No','available',62.50,80.00,84.00,88.00,84.00,84.00,79.00,88.00,74.00,159ffd55-fda4-4037-96e6-fc09d1aeb41b,94ab9910-b3ea-495c-a740-198b0364a92f
'H0831','',Chillies - Serrano,Kg,'E4','','No','unavailable',15.00,22.00,24.00,26.40,24.00,24.00,22.00,26.40,22.00,deaa880a-cd21-4357-9fa4-f8e1fd262563,94ab9910-b3ea-495c-a740-198b0364a92f
'H0832','',Chillies - Trinidad Scorpion,Kg,'E4','','No','unavailable',62.50,75.00,78.00,90.00,78.00,78.00,75.00,90.00,75.00,a86b41b9-d5b4-4819-a220-ef18129ed733,94ab9910-b3ea-495c-a740-198b0364a92f
'P2016','',Chives,Bunch,'P3','','No','available',2.20,3.25,3.50,3.80,3.50,3.50,3.25,3.80,3.25,e7f53c85-029d-4682-b966-7a847d90c2b8,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'P2017','',Chives 'Retail Pnt',Pn,'O2','','No','available',1.60,2.50,2.80,3.00,2.80,2.80,2.20,3.00,2.20,eb9c0e73-3fdf-4a3d-8565-68d2c12e9b3b,8f170da3-9efc-40c7-b607-758d6b00e8a2
'P2018','',Chives - Garlic,Bunch,'P4','','No','available',1.40,2.30,2.60,2.80,2.50,2.60,2.10,2.75,2.00,3226ada9-5e7b-4769-9aa2-5fdc86bc4554,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'H0936','',Chokos,Box,'E4','Chayote','No','available',70.00,88.00,92.00,98.00,92.00,92.00,86.00,98.00,86.00,f6959e48-b4a9-462a-936b-5504a9309290,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'H0937','',Chokos,Kg,'E4','Chayote','No','available',4.67,6.85,7.35,7.90,7.35,7.35,6.60,7.90,6.60,f6959e48-b4a9-462a-936b-5504a9309290,94ab9910-b3ea-495c-a740-198b0364a92f
'J1131','',Choy Sum,Bunch,'L2','','No','available',0.87,1.65,1.80,1.98,1.80,1.80,1.50,1.98,1.50,0d244d24-ce89-48a1-973f-37329639fb6e,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'J1132','KG',Choy Sum (LnE),Kg,'L2','','No','available',4.40,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,d3921791-a25d-4d16-8803-ccf995d48b39,94ab9910-b3ea-495c-a740-198b0364a92f
'J1133','BUN',Chrysanthemum Leaves,Bunch,'O6','','No','available',4.00,7.75,8.50,9.50,8.50,8.50,7.00,9.50,7.00,6b27029a-3d8f-4f84-b311-6c2fb6690b42,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'J1133KG','KG',Chrysanthemum Leaves,Kg,'O6','','No','available',4.00,7.75,8.50,9.50,8.50,8.50,7.00,9.50,7.00,6b27029a-3d8f-4f84-b311-6c2fb6690b42,94ab9910-b3ea-495c-a740-198b0364a92f
'J1134','',Cime Di Rapa,Bunch,'O6','','No','available',2.00,2.80,3.15,3.40,3.15,3.15,2.65,3.40,2.65,a8b7684a-a64b-4352-9407-ffc215a3ae15,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'B0106','',Coconuts,Each,'D','','No','available',1.75,2.75,3.00,3.30,3.00,3.00,2.60,3.30,2.60,20027939-109c-4df9-bb59-6feb97b791b1,8d446963-03cb-4081-9ba7-4909f3208813
'B0107','',Coconuts - Young,Box (9),'F8','','No','available',35.00,45.00,48.00,52.00,48.00,48.00,43.00,52.00,43.00,abdaa37a-345d-4705-8cea-b6cb48c0722c,b149666b-08d3-4653-a694-25884ab90ef5
'B0108','',Coconuts - Young,Each,'F8','','No','available',3.89,5.70,6.00,6.50,6.00,6.00,5.50,6.50,5.50,abdaa37a-345d-4705-8cea-b6cb48c0722c,8d446963-03cb-4081-9ba7-4909f3208813
'ORTHGND','CTN',Coffee Beans - Orthodox Ground 'St Ali',CTN (6),'','','No','available',9.00,14.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9a4ecd16-480c-4551-92e9-dca102db7f3e,6f863200-b855-4fb9-addb-fa79918800ef
'WIDAWGND','CTN',Coffee Beans - Wide Awake Ground 'St Ali',CTN (6),'','','No','available',9.00,14.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7b397ab6-f2ad-4fc3-8287-cbcfda39509b,6f863200-b855-4fb9-addb-fa79918800ef
'M1529','',Coleslaw,Bag (2.5kg),'J4','','No','available',6.88,11.00,11.75,13.20,11.75,11.75,10.55,13.20,10.55,a96b9987-c0d8-4fdc-8be8-914c008824cc,33575ae6-8aad-4c14-9921-5df547c888bf
'M1530','',Coleslaw,Kg,'J4','','No','available',3.25,4.85,5.30,5.75,5.30,5.30,4.85,5.75,4.85,a96b9987-c0d8-4fdc-8be8-914c008824cc,94ab9910-b3ea-495c-a740-198b0364a92f
'M1622','BAG',Coleslaw (LG Mix),Bag (1kg),'J8','','No','unavailable',4.10,5.00,5.25,6.00,5.25,5.25,5.00,6.00,5.00,ec52fd97-2c84-4356-8234-1ad502f1f3c4,895d6267-d5ac-4cbd-ac1b-6788fd2f46ed
'M1633','Pun',Coleslaw - Retail Pack,Punnet (400g),'N6','','No','available',1.90,3.00,3.50,4.00,3.50,3.50,3.00,4.00,3.00,72f439d5-86b8-4687-8811-fa9bf5ec365b,d6499d26-cdc1-4daa-b674-fa6736d4aad7
'P2019','',Coriander,Bunch,'P1','','No','available',1.30,1.95,2.15,2.35,2.15,2.15,1.90,2.35,2.20,b7cd6e14-c21a-4a06-85ee-2004783f34d3,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'P2020','',Coriander 'Retail Pnt',Pn,'O2','','No','available',1.60,2.50,2.80,3.00,2.80,2.80,2.20,3.00,2.20,95a7ca02-15f1-4855-b490-e9297fcc77e5,8f170da3-9efc-40c7-b607-758d6b00e8a2
'P2021','',Coriander (LnE),Kg,'P1','','No','available',10.00,14.50,14.50,14.50,14.50,14.50,14.50,14.50,14.50,554c1055-9679-471f-94a2-5cf5d1ab7ea5,94ab9910-b3ea-495c-a740-198b0364a92f
'P2022','',Coriander (Picked),Kg,'O1','','No','available',75.00,100.00,107.00,113.00,107.00,107.00,98.00,113.00,98.00,1e219a72-e053-403e-9bc3-b2bae4fb1dcb,94ab9910-b3ea-495c-a740-198b0364a92f
'P2090','',Coriander - Loose,Kg,'O1','','No','available',7.00,12.00,12.85,14.40,12.85,12.85,11.00,14.40,11.00,60f6f7c1-b876-44ce-af65-8ae502d1586f,94ab9910-b3ea-495c-a740-198b0364a92f
'P2023','',Coriander - Sawtooth,Bunch,'P3','','No','available',1.00,2.20,2.40,2.64,2.40,2.40,2.00,2.64,2.00,f9facb66-8aa4-4c94-8d9b-5141486d4b12,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'P2024','',Coriander Root - Bulk,Kg,'O2','','No','unavailable',0.00,5.00,6.00,6.00,6.00,6.00,5.00,6.00,5.00,982ae7ae-af7d-47d6-bd6d-68dfcdc4d868,94ab9910-b3ea-495c-a740-198b0364a92f
'H0835','',Corn (Pre-Pack),Box (12),'K5','','No','available',50.00,61.00,65.00,69.00,65.00,65.00,60.00,69.00,55.00,6fbb3e5d-a07f-4703-bfdf-06633756ca8f,975a6c12-01fe-421d-b2e3-ed8b37c5466e
'H0836','',Corn (Pre-Pack),Each,'K5','','No','available',4.17,5.80,6.20,6.50,6.20,6.20,5.20,6.50,5.00,6fbb3e5d-a07f-4703-bfdf-06633756ca8f,8d446963-03cb-4081-9ba7-4909f3208813
'N1705','',Corn - Baby (Aust),Pn (175g),'N5','','No','unavailable',4.00,5.50,5.90,6.60,5.90,5.90,5.50,6.60,5.50,f42fbd9a-12e3-4496-9a53-954ac65d8a24,f6238260-97cc-49c3-9579-762da3f8531d
'N1706','',Corn - Baby (Aust),Tray (8),'N5','','No','unavailable',32.00,39.00,41.00,46.80,41.00,41.00,39.00,46.80,39.00,f42fbd9a-12e3-4496-9a53-954ac65d8a24,be9c3a5b-b85a-495a-9786-44352585383d
'N1707','',Corn - Baby (Import),Pn (175g),'N5','','No','limited',3.75,4.95,5.75,6.25,5.75,5.75,4.90,6.25,4.90,f453b538-efde-4eec-820a-8a7600efc2c0,f6238260-97cc-49c3-9579-762da3f8531d
'N1708','',Corn - Baby (Import),Tray (12),'N5','','No','limited',45.00,54.00,60.00,66.00,60.00,60.00,52.00,66.00,52.00,f453b538-efde-4eec-820a-8a7600efc2c0,635752ea-b817-4e36-9c4b-6898b4b28025
'H0837','',Corn - Baby (In Husk),Box (130),'K5','','No','limited',82.50,105.00,112.00,126.00,112.00,112.00,100.00,126.00,100.00,751f89b9-da00-423a-b5fe-b700332c0189,31564f15-76ac-4deb-97bf-9c9af2a84fee
'H0838','',Corn - Baby (In Husk),Each,'K5','','No','limited',0.60,1.00,1.10,1.20,1.10,1.10,0.90,1.20,0.90,751f89b9-da00-423a-b5fe-b700332c0189,8d446963-03cb-4081-9ba7-4909f3208813
'H0839','',Corn - On The Cob,Box (30),'K5','','No','available',50.00,59.00,62.00,65.00,62.00,62.00,58.00,65.00,50.00,8185166b-7e7c-48c6-801b-0fbb46e09478,90c1f6b8-46af-4ff9-9805-ec268c2131d2
'H0840','',Corn - On The Cob,Each,'K5','','No','available',1.67,2.40,2.75,3.00,2.75,2.75,2.20,3.00,1.20,8185166b-7e7c-48c6-801b-0fbb46e09478,8d446963-03cb-4081-9ba7-4909f3208813
'6320B','CTN',Corn Chips 'Health Magic',CTN (6),'','','No','available',3.30,5.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3e33fc7d-c425-4219-a00f-31b9dc272254,6f863200-b855-4fb9-addb-fa79918800ef
'R2202','',Coulis Assorted (1.25L),Btle,'N6','','No','available',14.00,17.00,18.00,20.40,18.00,18.00,17.00,20.40,17.00,a2e75abb-bbe1-441a-9dc1-7f791674a1e3,0dd0805f-78b8-41d7-97d9-659f3a32797d
'F0506','',Cranberries,Kg,'E7','','No','unavailable',6.50,9.50,10.73,11.40,10.73,10.73,9.00,11.40,9.00,78eb304f-36fb-47cb-b74d-1db02db7af25,94ab9910-b3ea-495c-a740-198b0364a92f
'W2723','',Croissant - Almond Hazelnut,Each,'Kitchen','48 hours notice required for this product','No','available',3.00,5.00,5.00,6.00,5.00,5.00,5.00,6.00,5.00,b87a65e3-bb36-43ae-8050-cd372c171332,8d446963-03cb-4081-9ba7-4909f3208813
'W2724','',Croissant - Choc Almond Hazelnut,Each,'Kitchen','48 hours notice required for this product','No','available',3.00,5.00,5.00,6.00,5.00,5.00,5.00,6.00,5.00,1d595dc7-7bac-4164-83a8-34e44855446b,8d446963-03cb-4081-9ba7-4909f3208813
'W2726','',Croissant - Plain,Each,'Kitchen','48 hours notice required for this product','No','available',2.00,3.50,3.50,4.20,3.50,3.50,3.50,4.20,3.50,d0838540-5d68-446c-9a70-62d87abaab5f,8d446963-03cb-4081-9ba7-4909f3208813
'CROIS001','EA',Croissants 'Noisette',Each,'','','No','available',0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8cb0b3da-e141-4772-9fe8-6d762763531e,8d446963-03cb-4081-9ba7-4909f3208813
'W2727','',Crudite and Hummus,Each (400g),'Kitchen','48 hours notice required for this product','No','available',4.99,5.59,5.59,6.71,5.59,5.59,5.59,6.71,5.59,e2ff30d5-72bf-4009-a066-b322c6daaf83,5505a425-d98b-4e95-8076-4059fdec3f5f
'W2728','',Cryovac - Beetroot Mix,Bag (800g),'Kitchen','48 hours notice required for this product','No','unavailable',5.35,7.19,7.19,8.63,7.19,7.19,7.19,8.63,7.19,de7212bf-e198-427b-b14c-04bbaea2fe07,b575eadb-a8b8-4f26-bc7a-9440b6ed9d6e
'W2729','',Cryovac - Carrot & Parsnip Baton,Bag (800g),'Kitchen','48 hours notice required for this product','No','available',4.15,5.59,5.59,6.71,5.59,5.59,5.59,6.71,5.59,e663a6e5-d454-47e1-a413-4205ae6c9b88,b575eadb-a8b8-4f26-bc7a-9440b6ed9d6e
'W2730','',Cryovac - Duck Fat Potatoes,Bag (500g),'Kitchen','48 hours notice required for this product. Shelf life 10 days','No','available',4.70,5.59,5.59,6.71,5.59,5.59,5.59,6.71,5.59,6d914d2a-cc5e-4ba4-8d5b-3b9503c015e0,be67c5cd-a8eb-4254-9ff1-7109735b1273
'W2731','',Cryovac - Pumpkin Pieces,Bag (500g),'Kitchen','48 hours notice required for this product. Shelf life 10 days','No','limited',4.70,5.59,5.59,6.71,5.59,5.59,5.59,6.71,5.59,e34fc35f-5d93-46f9-8bff-667964759fbe,be67c5cd-a8eb-4254-9ff1-7109735b1273
'H0841','',Cucamelons (Mexican),Pn,'E3','','No','unavailable',4.50,6.00,6.50,7.20,6.50,6.50,6.00,7.20,6.00,1e1d51b2-6741-435b-82f4-02365132e3cc,8f170da3-9efc-40c7-b607-758d6b00e8a2
'H0842','',Cucamelons (Mexican),Tray,'E3','','No','unavailable',60.00,75.00,78.00,90.00,78.00,78.00,74.00,90.00,74.00,1e1d51b2-6741-435b-82f4-02365132e3cc,4e2dbf0a-c55a-47d1-9e87-a086f2c847b4
'H0843','',Cucumber - Apple,Box,'E4','','No','limited',30.00,38.00,40.00,45.60,40.00,40.00,38.00,45.60,38.00,f002765b-f647-4e19-ba99-bc2b15ed3b10,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'H0844','',Cucumber - Armenian ,Box,'E4','','No','unavailable',25.00,34.00,35.00,40.80,35.00,35.00,32.00,40.80,32.00,91f322d9-0763-4654-ba4e-70cc9c4eaa69,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'H0845','',Cucumber - Continental,Bag (15),'L5','','No','available',30.00,40.00,45.00,49.50,45.00,40.00,38.00,49.50,35.00,4cdb8196-00a1-4468-b140-e8b33aabbfc7,140d0d48-fc38-4d2b-9778-36af87c0caa1
'H0846','',Cucumber - Continental,Each,'L5','','No','available',2.00,3.20,3.50,3.80,3.50,3.50,2.95,3.80,2.75,4cdb8196-00a1-4468-b140-e8b33aabbfc7,8d446963-03cb-4081-9ba7-4909f3208813
'M1531','',Cucumber - Continental (Cut),Kg,'J4','48 hours notice required for this product','No','unavailable',7.25,16.40,19.50,19.68,19.50,19.50,17.60,19.68,17.60,cd701d1c-e1c3-49ac-ba3c-dc31f9cfec54,94ab9910-b3ea-495c-a740-198b0364a92f
'M1532','',Cucumber - Continental (Diced),Bag (2.5kg),'J4','48 hours notice required for this product','No','limited',16.75,22.00,24.00,26.40,24.00,24.00,22.00,26.40,22.00,9cd54d68-9b05-4af2-ae04-6af3bafdb55a,33575ae6-8aad-4c14-9921-5df547c888bf
'M1533','',Cucumber - Continental (Julienne),Kg,'J4','48 hours notice required for this product','No','limited',7.50,9.90,10.50,11.88,10.50,10.50,9.90,11.88,9.90,2f3f9aec-df9f-445e-ab94-66cc9a059538,94ab9910-b3ea-495c-a740-198b0364a92f
'H0847','',Cucumber - Continental (LnE),Kg,'L5','','No','available',4.70,8.60,8.60,8.60,8.60,8.60,8.60,8.60,8.60,c421aeab-6d22-4d4a-b556-5b51f4924115,94ab9910-b3ea-495c-a740-198b0364a92f
'H0848','',Cucumber - Gherkins,Box,'E3','','No','available',45.00,55.00,58.00,66.00,58.00,58.00,53.00,66.00,53.00,ded27294-df81-4a4c-b751-cb79d2052388,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'H0854','',Cucumber - Heirloom,Box,'E4','','No','unavailable',25.00,34.00,35.00,40.80,35.00,35.00,32.00,40.80,32.00,004c1b70-7d02-4e19-8a6a-4c60dad13f4a,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'H0849','',Cucumber - Lebanese,Box (10kg),'F3','','No','available',80.00,96.00,100.00,105.00,100.00,100.00,93.00,105.00,90.00,a95c6d37-6d96-4d5e-9e31-dbf6f1733a87,578eb97d-53f1-4e79-a2b4-67cea6e7e12b
'H0851','',Cucumber - Lebanese,Kg,'F3','','No','available',8.00,9.90,10.50,11.25,10.50,10.50,9.75,11.25,10.50,a95c6d37-6d96-4d5e-9e31-dbf6f1733a87,94ab9910-b3ea-495c-a740-198b0364a92f
'H0852','',Cucumber - Qukes,Pn (250g),'E2','','No','available',2.50,4.10,4.45,4.85,4.45,4.45,3.90,4.85,3.50,48717aca-5737-4d34-a9a5-c26cfebead7e,ad291d80-7a9d-4b51-b120-f4da24917a3d
'H0853','',Cucumber - Qukes,Tray,'E2','','No','available',40.00,54.00,60.00,66.00,60.00,60.00,52.00,66.00,46.50,48717aca-5737-4d34-a9a5-c26cfebead7e,4e2dbf0a-c55a-47d1-9e87-a086f2c847b4
'D0310','',Cumquats,Box,'F5','','No','limited',50.00,67.00,75.00,82.00,75.00,75.00,65.00,82.00,65.00,f49ac3ce-a010-4e36-9a69-8ab3cd3cacb4,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'D0300','',Cumquats,Kg,'F5','','No','limited',10.00,16.50,17.50,18.50,17.50,17.50,15.50,18.50,15.50,f49ac3ce-a010-4e36-9a69-8ab3cd3cacb4,94ab9910-b3ea-495c-a740-198b0364a92f
'7564','EA',Cupcakes - Seasonal,Each,'Bakery','','Yes','available',3.30,5.50,5.50,6.60,5.50,5.50,5.50,6.60,5.50,0ac78e1f-9c64-4df8-accd-14e68f2d3916,8d446963-03cb-4081-9ba7-4909f3208813
'F0528','',Currants - Red,Pn,'E7','','No','unavailable',4.50,6.50,6.95,7.80,6.95,6.95,6.25,7.80,6.25,1c82c0f4-a52f-4a8e-9236-953880499c1c,8f170da3-9efc-40c7-b607-758d6b00e8a2
'F0529','',Currants - White,Pn,'E7','','No','unavailable',5.50,6.99,7.20,8.39,7.20,7.20,6.99,8.39,6.99,c2a052e1-4f5a-4e3f-b674-247176aa928a,8f170da3-9efc-40c7-b607-758d6b00e8a2
'P2025','BAG',Curry Leaves,Bag (500g),'O1','','No','available',20.00,33.00,36.00,39.00,36.00,36.00,31.00,39.00,15.00,ff6287c4-5d91-4508-a09c-4179031e32ca,be67c5cd-a8eb-4254-9ff1-7109735b1273
'P2026','PUN',Curry Leaves,Pn,'O1','','No','available',3.00,4.50,4.85,5.40,4.85,4.85,4.50,5.40,4.50,ff6287c4-5d91-4508-a09c-4179031e32ca,8f170da3-9efc-40c7-b607-758d6b00e8a2
'P2025','PUN',Curry Leaves 'Retail Pnt',Pn,'O5','','No','available',2.00,4.65,5.00,5.50,5.00,5.00,3.50,5.50,3.50,f0aeb995-c986-4186-93ce-3f59deddadf6,8f170da3-9efc-40c7-b607-758d6b00e8a2
'R2203','',Dates - Coconut,Box,'D','','No','available',80.00,104.00,109.00,124.80,109.00,109.00,104.00,124.80,104.00,11bc5ca9-1671-4bda-ab0e-4edc4ed3f189,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'R2204','',Dates - Medjool,Box (5kg),'D','','No','available',90.00,125.00,128.00,150.00,128.00,128.00,118.00,150.00,118.00,6d47522a-a097-4f80-bb9b-00e910401eb0,3d485084-df7f-4606-b912-b5c196504808
'R2205','',Dates - Medjool,Kg,'D','','No','available',18.00,26.00,27.00,31.20,27.00,27.00,26.00,31.20,26.00,6d47522a-a097-4f80-bb9b-00e910401eb0,94ab9910-b3ea-495c-a740-198b0364a92f
'DAB','Box',Deluxe Antipasto Box,Box,'','','No','available',73.00,125.00,125.00,150.00,150.00,125.00,125.00,125.00,141.25,49de355c-1c24-4e9d-b215-c6a88f35e42a,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'DFB','Box',Deluxe Fruit Box,Box,'','','No','available',58.50,100.00,100.00,120.00,120.00,100.00,100.00,100.00,113.00,02a7ae77-5835-4aa6-8f12-973715e02e70,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'P2027','',Dill,Bunch,'P3','','No','available',2.00,2.90,3.20,3.50,3.20,3.20,2.75,3.50,3.10,e81884cc-6836-4e97-81d3-4779c367777e,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'P2028','',Dill 'Retail Pnt',Pn,'O2','','No','available',1.60,2.50,2.80,3.00,2.80,2.80,2.20,3.00,2.20,26e868ab-b3ba-4892-8d21-8846ac88424f,8f170da3-9efc-40c7-b607-758d6b00e8a2
'P2082','',Dill - Loose,Bag (500g),'O6','','No','unavailable',9.00,14.00,15.75,17.00,15.75,15.75,13.50,17.00,13.50,6fa72484-8a0e-4cf0-9de1-e264562b4df8,be67c5cd-a8eb-4254-9ff1-7109735b1273
'B0169','',Dragon Fruit - Red Flesh,Each,'F5','','No','available',6.88,8.95,9.50,10.74,9.50,9.50,8.80,10.74,8.80,c7c1f4e4-dc1b-4213-9e8a-74422a1fb8af,8d446963-03cb-4081-9ba7-4909f3208813
'B0167','',Dragon Fruit - Red Flesh,Tray,'F5','','No','available',55.00,68.00,71.00,81.60,71.00,71.00,67.00,81.60,67.00,c7c1f4e4-dc1b-4213-9e8a-74422a1fb8af,4e2dbf0a-c55a-47d1-9e87-a086f2c847b4
'B0166','',Dragon Fruit - White Flesh,Each,'F5','','No','available',5.00,7.80,8.70,9.60,8.70,8.70,7.00,9.60,7.00,7a2b3799-93ab-4c70-a052-45a0fbd9296f,8d446963-03cb-4081-9ba7-4909f3208813
'B0168','',Dragon Fruit - White Flesh,Tray,'F5','','No','available',30.00,40.00,45.00,49.50,45.00,45.00,39.00,49.50,39.00,7a2b3799-93ab-4c70-a052-45a0fbd9296f,4e2dbf0a-c55a-47d1-9e87-a086f2c847b4
'B0110','',Durian,Kg,'D','','No','unavailable',40.00,52.00,55.00,62.40,55.00,55.00,50.00,62.40,50.00,e9a1411f-92b1-4477-a53e-e2abd4bc9d91,94ab9910-b3ea-495c-a740-198b0364a92f
'B0165','',Eggfruit - Tropical,Each,'F4','','No','unavailable',3.75,4.80,5.00,5.76,5.00,5.00,5.00,5.76,5.00,9863e975-5054-44e5-858a-6174db1abe0a,8d446963-03cb-4081-9ba7-4909f3208813
'B0164','',Eggfruit - Tropical,Tray,'F4','','No','unavailable',60.00,70.00,72.00,84.00,72.00,72.00,68.00,84.00,68.00,9863e975-5054-44e5-858a-6174db1abe0a,4e2dbf0a-c55a-47d1-9e87-a086f2c847b4
'H0868','',Eggplant,Box (7kg),'M3','','No','available',35.00,47.00,51.00,56.00,51.00,51.00,46.00,56.00,49.00,7f863e52-3d56-431c-b904-adfb1fec9d15,0f8a309f-7ffd-49f7-8318-df44dbfe96a2
'H0869','',Eggplant,Kg,'M3','','No','available',5.00,7.75,8.30,8.90,8.30,8.30,7.50,8.90,7.80,7f863e52-3d56-431c-b904-adfb1fec9d15,94ab9910-b3ea-495c-a740-198b0364a92f
'M1534','',Eggplant (Sliced),Kg,'J4','48 hours notice required for this product','No','limited',5.25,11.50,12.50,13.50,12.50,12.50,10.50,13.50,10.50,a80b650e-5498-43d1-87f4-192992cfa6f3,94ab9910-b3ea-495c-a740-198b0364a92f
