product_code,unit_of_order_code,product_name(do not edit),quantity_type(do not edit),product_tag,extra_product_details,tax_applicable(Yes or No),availability(available or limited or unavailable or hidden),cost,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,product_id(do not edit),quantity_type_id(do not edit)
'A0001','',Avocados,Each,'F9','','No','available',2.10,2.95,3.20,3.55,3.20,3.20,2.75,3.55,2.25,da1ea499-5ad2-49e3-97f0-3329117dd33d,8d446963-03cb-4081-9ba7-4909f3208813
'A0007','',Avocados,Tray,'F9','','No','available',41.00,51.00,55.00,59.00,55.00,55.00,49.00,59.00,42.00,da1ea499-5ad2-49e3-97f0-3329117dd33d,4e2dbf0a-c55a-47d1-9e87-a086f2c847b4
'A0002','',Avocados - Hass,Tray,'F9','','No','available',41.00,51.00,55.00,59.00,55.00,55.00,49.00,59.00,42.00,4b1868d7-4ddb-484a-b965-b0ee7b803dc0,4e2dbf0a-c55a-47d1-9e87-a086f2c847b4
'A0004','',Avocados - Reed,Tray,'F9','','No','unavailable',42.00,51.00,55.00,59.00,55.00,55.00,49.00,59.00,42.00,411b33e2-8d31-4b30-8d3c-c9d841ef2e4b,4e2dbf0a-c55a-47d1-9e87-a086f2c847b4
'A0005','',Avocados - Shepard,Tray,'F9','','No','unavailable',42.00,51.00,55.00,59.00,55.00,55.00,49.00,59.00,42.00,3cefe350-2b1a-4ecf-8f94-73e98697405d,4e2dbf0a-c55a-47d1-9e87-a086f2c847b4
'A0006','',Avocados Bulk,Box,'F6','','No','available',56.00,68.00,72.00,76.00,72.00,72.00,67.00,76.00,70.00,dba82ca4-0653-41b4-bc7f-3ec28da34d15,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'J1101','',Baby Rapa,Box,'O5','','No','unavailable',18.00,23.50,25.00,28.20,25.00,25.00,23.50,28.20,23.50,7f8c4d59-a6ea-4786-b6b8-7c5a01478a20,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'J1102','',Baby Rapa,Kg,'O5','','No','unavailable',12.00,17.00,17.80,20.40,17.80,17.80,17.00,20.40,17.00,7f8c4d59-a6ea-4786-b6b8-7c5a01478a20,94ab9910-b3ea-495c-a740-198b0364a92f
'W2701','',Baguette - Roast Beef,Each,'Kitchen','48 hours notice required for this product','No','available',4.80,8.00,6.00,9.60,6.00,6.00,6.00,9.60,6.00,dc7b3ec8-7b7e-4fce-8e1a-c7f161b92d71,8d446963-03cb-4081-9ba7-4909f3208813
'W2702','',Baguette - Smoked Salmon,Each,'Kitchen','48 hours notice required for this product','No','available',4.80,8.00,8.00,9.60,8.00,8.00,8.00,9.60,8.00,33312980-efcb-45be-b030-28135c9c71e7,8d446963-03cb-4081-9ba7-4909f3208813
'W2703','',Baguette - Turkey,Each,'Kitchen','48 hours notice required for this product','No','available',4.80,8.00,6.00,9.60,6.00,6.00,6.00,9.60,6.00,83e99bdd-56ff-4d0e-a5d4-65346a457349,8d446963-03cb-4081-9ba7-4909f3208813
'A0008','',Banana (15Kg),Box (15kg),'C','','No','unavailable',30.00,40.00,45.00,49.50,45.00,45.00,38.00,49.50,44.00,311facdf-b52d-4230-bb8d-da1aed5401fb,b6f5f70b-64a5-442d-be21-ad517f978076
